block_hash,block_number,block_timestamp,transaction_hash,transaction_index,event_index,from_address,to_address,token_id,quantity,event_type
0x0d62c6ebc43645569407af195f1d847684c5283e8e35dc59189c9dd20a7478f7,18909378,2024-01-01 01:38:23,0x7deb9d309a2e46f990622bb41ceb12b2f8ec3c8938df40b8b322abe84e9464ea,45,121,0xf081470f5c6fbccf48cc4e5b82dd926409dcdd67,0x267635c1051bac121790e226a49030d4a4924853,,5.240614613642099e+29,ERC-20
0x46c6778aa0326d802b14da26928971e21b98fec895f84845be2a9e04cb931dc8,18909489,2024-01-01 02:00:59,0xadf597d62c3bfe4b05e4a3415e47b06d283cb796e8fa438b951379f285302f33,122,287,0x127452f3f9cdc0389b0bf59ce6131aa3bd763598,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,,8831613620810130.0,ERC-20
0x50bdf7043844a43b2149fa6cf123ca74606fd522622db531b2c8ee16828e5952,18909193,2024-01-01 01:00:59,0x7cf9ac9fba97c1e8d18abd6cf4234d2a54f994c99dcd22b9b603f24b9e42f6c9,148,176,0x3bd4c71155de785328bd7d1118acad7798cbaf6b,0xd07d3e4d3466ce10394af73df9a93b3cdc093ba7,,1.3895227045555048e+19,ERC-20
0x3a093c7110e73c3e586ed9b2bfe8af769ad977a01de2972ef087db7aeb34f21a,18909144,2024-01-01 00:50:59,0x99f5701e5ec3a42991477f0db883a0c689d4474658e3931b2d173ba38dad37db,100,251,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x09d1d767edf8fa23a64c51fa559e0688e526812f,,4.5e+18,ERC-20
0x2f2edf070d6e61c51729656203d2546cd220bc7800eb3cf3c36e6cd06f1d2209,18909127,2024-01-01 00:47:35,0xb556785c42737111aacfc61736fb300e784e75d949ced3ddaeb8104b19ebd208,17,160,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x294d98ab6692031c80c21e7be37cc5bc77000d90,,3.347933e+19,ERC-20
0x4c2ca1b52069de9cd2669d7c147f5a529a5d64bc51296b02d5118e2d19804b44,18908977,2024-01-01 00:17:11,0x86bd0a1622f78c46e32c93436690e73b1dcb79fb05b6e867139eda74912f756d,105,172,0xfbef5cac5453247029acdd4453bcffb3fd3fce8c,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,,93045128.0,ERC-20
0x2497f7575659c49a7de9bac44fd6786ecf351890d3718428556a25589ba39d88,18908941,2024-01-01 00:09:47,0xde35b92c0f2dc4de2fe4f48cc438ba2700b58e8c1679edccbc2be4d70f0fc83e,145,241,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,,3.7401949301605673e+18,ERC-20
0x10c344255b1576c90f6709720700263f1c14e2099132a6921b178e93ceadeb14,18909265,2024-01-01 01:15:35,0x1a74c97f9387e23850b3d354d13983a6013ae967afe7e6f8c9e68dae47de9d80,140,604,0x0000000000000000000000000000000000000000,0x25000232f189a2f380e578b08507009118367379,,0.0,ERC-20
0x50cac5212c1f9ef081dc387eee0bb7e1f25827d62294ea16ce40365aee2c14a4,18908928,2024-01-01 00:06:59,0x223eee46e9317b4dcafacfc2eefa23aeb72988e2801d8f3853ab63104d277216,61,205,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x5604031e4e30275978778475ef4897a019ed1930,,1996800000000.0,ERC-20
0x4c2ca1b52069de9cd2669d7c147f5a529a5d64bc51296b02d5118e2d19804b44,18908977,2024-01-01 00:17:11,0x89c5771891dcf9d6db0c2ced8bd6d660d5f87e88c016dc0a7891466ad89ab52d,103,170,0x3bb56e03265ef53690bb44fefb4d06a0e7467c93,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,,93050000.0,ERC-20
